para, link, date 
By Angela Dewan and Sarah Dean, CNNUpdated 3:19 PM ET, Fri March 27, 2020 Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.London (CNN)The UK's response to the coronavirus pandemic was upended on Friday when the Prime Minister Boris Johnson and his top health minister tested positive for the infection, and his chief medical adviser self-isolated after displaying symptoms. Over the last 24 hours I have developed mild symptoms and tested positive for coronavirus.I am now self-isolating, but I will continue to lead the government's response via video-conference as we fight this virus.Together we will beat this. #StayHomeSaveLives pic.twitter.com/9Te6aFP0Ri, /profiles/angela-dewan, Updated 3:19 PM ET  Fri March 27, 2020  
, javascript:void(0);,  
, javascript:void(0);,  
London (CNN)The UK's response to the coronavirus pandemic was upended on Friday when the Prime Minister Boris Johnson and his top health minister tested positive for the infection, and his chief medical adviser self-isolated after displaying symptoms. Over the last 24 hours I have developed mild symptoms and tested positive for coronavirus.I am now self-isolating, but I will continue to lead the government's response via video-conference as we fight this virus.Together we will beat this. #StayHomeSaveLives pic.twitter.com/9Te6aFP0Ri, https://twitter.com/hashtag/StayHomeSaveLives?src=hash&ref_src=twsrc%5Etfw,  
, undefined,  
, undefined,  
, undefined,  
, undefined,  
, undefined,  
, undefined,  
, undefined,  
